"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"SAMEDU","16","Admin","1","Interview Status","1","2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1997 National","PUF","Same unit as last enumeration period","HOUSEHOLD","Character","JAMEDU","","1: Yes||2: No||B: Not applicable","","","","","",
"SAMEDU","16","Admin","1","Interview Status","1","1995 National, 1993 National, 1991 National, 1989 National, 1987 National","PUF","Same unit as last enumeration period","Flat File","Character","","","1: Yes||2: No||Blank: Not applicable","","","","","",
"SAMEDU","16","Admin","1","Interview Status","1","1994 Metro, 1993 Metro, 1992 Metro, 1991 Metro, 1990 Metro, 1989 Metro, 1988 Metro, 1987 Metro, 1986 Metro, 1985 Metro, 1984 Metro","PUF","Same unit as last enumeration period","Flat File","Character","","","1: Yes||2: No||9: New construction, or Type C interview in previous period","","","","","",
"SAMEHH","17","Admin","1","Interview Status","1","2013 National, 2011 National, 2004 Metro, 2001 National, 1999 National","PUF","Same household members in unit as in previous enumeration","HOUSEHOLD","Character","NA","","1: Yes||2: No||3: Don't know","","","","","",
"SAMEHH","17","Admin","1","Interview Status","1","2013 Metro, 2011 Metro, 2007 Metro, 2003 National, 2002 Metro","PUF","Same household members in unit as in previous enumeration","HOUSEHOLD","Character","NA","","1: Yes||2: No","","","","","",
"SAMEHH","17","Admin","1","Interview Status","1","2009 National, 2007 National","PUF","Same household members in unit as in previous enumeration","HOUSEHOLD","Character","NA","","1: Yes||2: No||Blank: Not reported||B: Not applicable","","","","","",
"SAMEHH","17","Admin","1","Interview Status","1","2009 Metro","PUF","Same household members in unit as in previous enumeration","HOUSEHOLD","Character","NA","","1: Yes||2: No||B: Not reported||Blank: Not applicable","","","","","",
"SAMEHH","17","Admin","1","Interview Status","1","2005 National","PUF","Same household members in unit as in previous enumeration","HOUSEHOLD","Character","NA","","1: Yes||2: No||3: Don't know||Blank: Not applicable","","","","","",
"SAMEHH","17","Admin","1","Interview Status","1","1998 Metro","PUF","Same household members in unit as in previous enumeration","HOUSEHOLD","Character","NA","","0: Not reported||1: Yes","","","","","",
"SAMEHH","17","Admin","1","Interview Status","1","1997 National","PUF","Same household members in unit as in previous enumeration","HOUSEHOLD","Character","NA","","0: Not reported||1: Yes||2: No||3: Don't know","","","","","",
"SAMEHH","17","Admin","1","Interview Status","1","1995 National, 1993 National, 1991 National, 1989 National, 1987 National","PUF","Same household members in unit as in previous enumeration","Flat File","Character","","","1: Yes||2: No||Blank: Not applicable / Not reported","","","","","",
"SAMEHH2","18","Admin","1","Interview Status","1","2013 National, 2011 National, 2005 National","PUF","Same household members in unit as in previous enumeration (recode)","HOUSEHOLD","Character","NA","","1: Same household (SAMEHH=1) and current year and prior year are regular interviews||2: Different household (SAMEHH=2) and current year and prior year are regular interviews||3: Occupied and don't know if same household (SAMEHH=3) and current year and prior year are regular interviews||4: New household, current year is regular interviews, prior year is URE or vacant interview||5: New household, current year is regular interview, prior year is noninterview or unit is new to sample||B: Not applicable","","","","","",
"SAMEHH2","18","Admin","1","Interview Status","1","2013 Metro, 2011 Metro, 2009 Metro, 2007 Metro","PUF","Same household members in unit as in previous enumeration (recode)","HOUSEHOLD","Character","NA","","1: Same household and current year and prior year are regular interviews||2: Different household and current year and prior year are regular interviews||4: New household, current year is regular interview, prior year is URE or vacant interview||5: New household, current year is regular interview, prior year is noninterview or unit is new to sample||B: Not applicable","","","","","",
"SAMEHH2","18","Admin","1","Interview Status","1","2009 National, 2007 National","PUF","Same household members in unit as in previous enumeration (recode)","HOUSEHOLD","Character","NA","","1: Same household (SAMEHH=1) and current year and prior year are regular interviews||2: Different household (SAMEHH=2) and current year and prior year are regular interviews||4: New household, current year is regular interviews, prior year is URE or vacant interview||5: New household, current year is regular interview, prior year is noninterview or unit is new to sample||B: Not applicable","","","","","",
"STATUS","19","Admin","1","Interview Status","1","2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Interview status","HOUSEHOLD","Character","NA","","1: Occupied interview||2: Usual Residence Elsewhere (URE) interview||3: Vacant interview","","","","","",
"STATUS","19","Admin","1","Interview Status","1","1996 Metro, 1995 National, 1995 Metro, 1994 Metro, 1993 National, 1993 Metro, 1992 Metro, 1991 National, 1991 Metro, 1990 Metro, 1989 National, 1989 Metro, 1988 Metro, 1987 National, 1987 Metro, 1986 Metro, 1985 National, 1985 Metro, 1984 Metro","PUF","Occupancy status","Flat File","Character","","","1: Occupied unit||2: Not occupied","","","","","",
"STATUS","19","Admin","1","Interview Status","1","1983 National, 1981 National, 1980 National, 1979 National, 1978 National, 1977 National, 1976 National, 1975 National, 1975 Metro, 1974 National, 1974 Metro, 1973 National","PUF","Occupancy status","Flat File","Character","","","1: Occupied interview||2: Vacant interview||3: Usual Residence Elsewhere (URE) interview","","","","","",
"STATUS","19","Admin","1","Interview Status","1","1983 Metro, 1982 Metro, 1981 Metro, 1980 Metro, 1979 Metro, 1978 Metro, 1977 Metro","PUF","Occupancy status","Flat File","Character","","","1: Occupied interview||2: Vacant interview||3: Usual Residence Elsewhere (URE) interview||9: Vacant or URE units in transient hotels, mobile homes or other housing","","","","","",
"MHGONE","20","Admin","1","Interview Status","1","1999 National","PUF","Old mobile home gone","HOUSEHOLD","Character","NA","","1: Moved out||2: Lost to demolition||3: Other, specify||Blank: Not reported","","","","","",
"IMONTH","21","Admin","1","Interview Status","1","1996 Metro","PUF","Interview panel","Flat File","Numeric","","","3: March||4: April||5: May||6: June||7: July||8: August||9: September||10: October||11: November","","","","","",
"IMONTH","21","Admin","1","Interview Status","1","1995 Metro","PUF","Interview panel","Flat File","Numeric","","","3: Not applicable||4: April||5: May||6: June||7: July||8: August||9: September||10: October||11: November","","","","","",
"IMONTH","21","Admin","1","Interview Status","1","1994 Metro, 1985 Metro","PUF","Interview panel","Flat File","Numeric","","","4: April||5: May||6: June||7: July||8: August||9: September||10: October||11: November","","","","","",
"IMONTH","21","Admin","1","Interview Status","1","1993 Metro, 1992 Metro, 1991 Metro, 1990 Metro, 1984 Metro, 1983 Metro, 1982 Metro","PUF","Interview panel","Flat File","Numeric","","","4: April||5: May||6: June||7: July||8: August||9: September||10: October||11: November||12: December","","","","","",
"IMONTH","21","Admin","1","Interview Status","1","1989 Metro","PUF","Interview panel","Flat File","Numeric","","","4: April||5: May||6: June||7: July||8: August||9: September||10: October","","","","","",
"IMONTH","21","Admin","1","Interview Status","1","1988 Metro","PUF","Interview panel","Flat File","Numeric","","","5: May||6: June||7: July||8: August||9: September||10: October||11: November||12: December","","","","","",
"IMONTH","21","Admin","1","Interview Status","1","1987 Metro, 1986 Metro","PUF","Interview panel","Flat File","Numeric","","","6: June||7: July||8: August||9: September||10: October||11: November||12: December","","","","","",
"IMONTH","21","Admin","1","Interview Status","1","1981 Metro, 1980 Metro, 1979 Metro, 1978 Metro, 1976 Metro, 1975 Metro, 1974 Metro","PUF","Interview panel","Flat File","Numeric","","","1: January of following year||2: February of following year||3: March of following year||4: April||5: May||6: June||7: July||8: August||9: September||10: October||11: November||12: December","","","","","",
"IMONTH","21","Admin","1","Interview Status","1","1977 Metro","PUF","Interview panel","Flat File","Numeric","","","1: January of following year||2: February of following year||4: April||5: May||6: June||7: July||8: August||9: September||10: October||11: November||12: December","","","","","",
"NEIGH","22","Admin","1","Interview Status","1","1993 National, 1989 National, 1985 National","PUF","Code for neighboring units (neighbor unit sample)","Flat File","Numeric","","","1 : 9998: Neighbor code - all units in a cluster share the same code||. : Not applicable / Not reported","","","","","",
"WHYPER","23","Admin","1","Interview Status","1","1983 National","PUF","Reason for personal interview","Flat File","Character","","","1: Unit is in panel 2, 4, 6||2: Some reason given||98: Interviewer did not fill in reason or unit at a special place||99: Telephone interview","","","","","",
"WHYPER","23","Admin","1","Interview Status","1","1981 National","PUF","Reason for personal interview","Flat File","Character","","","1: Unit is in panel 2, 3, 4, 5, 6, i.e., selected for personal interview||2: Some reason given||98: Interviewer did not fill in reason or unit at a special place||99: Telephone interview","","","","","",
"CMS","24","Admin","1","Interview Status","1","1975 National, 1974 National","PUF","Conversion-Merger status since last survey","Flat File","Character","","","1: Merged||2: Converted to more units||3: No change","","","","","",
"JXXXXX","1","Admin","1","Edit Variables","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Edit flag for XXXXX (where XXXXX represents the name of the variable)","ALL","Character","NA","Coming soon","0: No change||1: Changed by edit||2: Changed by imputation||3: Changed by both edit and imputation","NA","NA","None","INTSTATUS in ('1' '2' '3')","JXXXXX is found in the same relational table as XXXXX and appears in the same survey years as XXXXX.",
"JXXXXX","1","Admin","1","Edit Variables","2","2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Edit flag for XXXXX (where XXXXX represents the name of the variable)","ALL","Character","NA","","Blank: No change||1: Changed by edit||2: Changed by hot deck||3: Changed by regression (utilities variables only)||4: Changed by edit and hot deck (income variables only)","","","","","",
"AXXXXX","2","Admin","1","Edit Variables","2","1996 Metro, 1995 National, 1995 Metro, 1994 Metro, 1993 National, 1993 Metro, 1992 Metro, 1991 National, 1991 Metro, 1990 Metro, 1989 National, 1989 Metro, 1988 Metro, 1987 National, 1987 Metro, 1986 Metro, 1985 National, 1985 Metro, 1984 Metro","PUF","Edit flag for XXXXX (where XXXXX represents the reference of the variable)","Flat File","Numeric","","","1: Answer was allocated||2: Answer was edited","","","","","",
"ALLXXXX","3","Admin","1","Edit Variables","2","1983 National, 1983 Metro, 1982 Metro, 1981 National, 1981 Metro, 1980 National, 1980 Metro, 1979 National, 1979 Metro, 1978 National, 1978 Metro, 1977 National, 1977 Metro, 1976 National, 1976 Metro, 1975 National, 1975 Metro, 1974 National, 1974 Metro, 1973 National","PUF","Edit flag for XXXXX (where XXXXX represents the reference of the variable)","Flat File","Numeric","","","Blank","","","","","",
